paper_id,author_order,author_name,author_id,affiliation
15472450903385999,0, Cindy Cappelle ,0," Laboratoire Systèmes et Transports , Université de Technologie de Belfort-Montbéliard , "
15472450903385999,1, Maan El Badaoui El Najjar ,0," Laboratoire Lorrain de Recherche en Informatique et ses Applications , Institut National de Recherche en Informatique et Automatique , "
15472450903385999,2, Denis Pomorski ,0," Laboratoire d'Automatique, Génie Informatique et Signal , Université de Lille Nord de France , "
15472450903385999,3, François Charpillet ,0," Laboratoire Lorrain de Recherche en Informatique et ses Applications , Institut National de Recherche en Informatique et Automatique , "
15472450903386005,0, Kyoung-Ho Choi ,0," Mokpo National University , Mokpo, Korea "
15472450903386005,1, Soon-Young Park ,0," Mokpo National University , Mokpo, Korea "
15472450903386005,2, Seong-Hoon Kim ,0," Eyenix Co., Ltd. , Suwon, Korea "
15472450903386005,3, Ki-Sung Lee ,0," Korea University, College of Health Science , Seoul, Korea "
15472450903386005,4, Jeong-Ho Park ,0," Electronics Telecommunications Research Institute , Daejeon, Korea "
15472450903386005,5, Seong-Ik Cho ,0," Electronics Telecommunications Research Institute , Daejeon, Korea "
15472450903386005,6, Jong-Hyun Park ,0," Electronics Telecommunications Research Institute , Daejeon, Korea "
15472450903386013,0, Hao Xu ,0," Department of Civil and Environmental Engineering , Texas Tech University , Lubbock, Texas, USA "
15472450903386013,1, Hongchao Liu ,0," Department of Civil and Environmental Engineering , Texas Tech University , Lubbock, Texas, USA "
15472450903386013,2, Chin-Woo Tan ,0," Institute of Transportation Studies , University of California at Berkeley , Berkeley, California, USA "
15472450903386013,3, Yuanlu Bao ,0," Department of Automation , University of Technology and Science of China , Hefei, China "
15472450903386021,0, Weihua Zhu ,0," University of California at Riverside , Riverside, California, USA "
15472450903386021,1, Kanok Boriboonsomsin ,0," University of California at Riverside , Riverside, California, USA "
15472450903386021,2, Matthew Barth ,0," University of California at Riverside , Riverside, California, USA "
15472451003738194,0, Mashrur Chowdhury ,0," Department of Civil Engineering , Clemson University , Clemson, South Carolina, USA "
15472451003719699,0, Xuegang Jeff Ban ,0," Department of Civil and Environmental Engineering , Rensselaer Polytechnic Institute , Troy, NY, USA "
15472451003719699,1, Yuwei Li ,0," Partners for Advanced Transit and Highways (PATH) , Institute of Transportation Studies (ITS), University of California—Berkeley , Richmond, CA, USA "
15472451003719699,2, Alexander Skabardonis ,0," Partners for Advanced Transit and Highways (PATH) , Institute of Transportation Studies (ITS), University of California—Berkeley , Richmond, CA, USA "
15472451003719699,3, J. D. Margulici ,0," California Center for Innovative Transportation (CCIT) , Institute of Transportation Studies (ITS), University of California—Berkeley , Berkeley, CA, USA "
15472451003719715,0, Kamonthep Tuerprasert ,0," Department of Electrical Engineering, Faculty of Engineering , Chulalongkorn University , Thailand "
15472451003719715,1, Chaodit Aswakul ,0," Department of Electrical Engineering, Faculty of Engineering , Chulalongkorn University , Thailand "
15472451003719723,0, Hema Tanikella ,0," Department of Civil Engineering , University of Virginia , Charlottesville, Virginia, USA "
15472451003719723,1, Brian L. Smith ,0," Department of Civil Engineering , University of Virginia , Charlottesville, Virginia, USA "
15472451003719756,0, Xing Zheng ,0," Institute of Transportation Studies , University of California , Irvine, Irvine, California, USA "
15472451003719756,1, Will Recker ,0," Institute of Transportation Studies , University of California , Irvine, Irvine, California, USA "
15472451003719756,2, Lianyu Chu ,0," California Center for Innovative Transportation , University of California , Berkeley, Berkeley, California, USA "
15472451003719764,0, Cameron Kergaye ,0," Utah Department of Transportation , Salt Lake City, Utah, USA "
15472451003719764,1, Aleksandar Stevanovic ,0," Department of Civil, Environmental, and Geomatics Engineering , Florida Atlantic University , Boca Raton, Florida, USA "
15472451003719764,2, Peter T. Martin ,0," Department of Civil and Environmental Engineering , University of Utah , Salt Lake City, Utah, USA "
15472450.2010.484737,0, André De Palma ,0," Ecole Normale Supérieure de Cachan , Cachan, France "
15472450.2010.484737,1, Nathalie Picard ,0," Thema, Université de Cergy-Pontoise , France "
15472450.2010.484740,0, Stef Proost ,0," Department of Economics , Catholic University of Leuven , Leuven, Belgium "
15472450.2010.484740,1, Saskia van der Loo ,0," Department of Economics , Catholic University of Leuven , Leuven, Belgium "
15472450.2010.484742,0, Laurent Denant-Boèmont ,0," Department of Economics , University of Rennes 1 , Rennes, France ; Center for Research in Economics and Management–CNRS , Rennes, France "
15472450.2010.484742,1, Sabrina Hammiche ,0," Department of Economics , University of Rennes 1 , Rennes, France ; Center for Research in Economics and Management–CNRS , Rennes, France "
15472450.2010.484746,0, Caspar G. Chorus ,0," Department of Technology, Policy and Management , Delft University of Technology , Delft, The Netherlands "
15472450.2010.484746,1, Joan L. Walker ,0," Department of Civil and Environmental Engineering , University of California , Berkeley, California "
15472450.2010.484746,2, Moshe E. Ben-Akiva ,0," Department of Civil and Environmental Engineering , Massachusetts Institute of Technology , Cambridge, Massachusetts "
15472450.2010.484749,0, M. De Lapparent ,0," Département Economie et Sociologie des Transports , Institut National de Recherche Sur les Transports et leur Sécurité, Université Paris-Est , Paris, France "
15472450.2010.484751,0, Nebiyou Y. Tilahun ,0," Urban Transportation Center , University of Illinois at Chicago "
15472450.2010.484751,1, David M. Levinson ,0," Department of Civil Engineering , University of Minnesota , Minneapolis"
15472450.2010.484753,0, Yanyan Chen ,0," Key Traffic Engineering Laboratory , Beijing University of Technology , Beijing, China "
15472450.2010.484753,1, Michael G. H. Bell ,0," Centre for Transport Studies , Imperial College , London, England "
15472450.2010.484753,2, Klaus Bogenberger ,0," Transver AG , Munich, Germany "
15472450.2010.516226,0, Cornelie J. G. Van Driel ,0," Rapp Trans AG , Basel, Switzerland "
15472450.2010.516226,1, Bart Van Arem ,0," Faculty of Civil Engineering and Geosciences, Department of Transport, and Planning , Delft University of Technology , Delft, The Netherlands "
15472450.2010.516229,0, Chanyoung Lee ,0," Center of Urban Transportation Research , University of South Florida , Tampa, Florida, USA "
15472450.2010.516229,1, Bin Ran ,0," Department of Civil and Environmental Engineering , University of Wisconsin at Madison , Madison, Wisconsin, USA "
15472450.2010.516229,2, Fan Yang ,0," Department of Civil Engineering , City College of New York , New York, New York, USA "
15472450.2010.516229,3, Wei-Yin Loh ,0," Department of Statistics , University of Wisconsin at Madison , Madison, Wisconsin, USA "
15472450.2010.516232,0, Ruey Long Cheu ,0," Department of Civil Engineering , The University of Texas at El Paso , El Paso, Texas, USA "
15472450.2010.516232,1, Hao Lei ,0," Department of Civil Engineering , The University of Texas at El Paso , El Paso, Texas, USA "
15472450.2010.516232,2, Raed Aldouri ,0," Geospatial Information Service Center , The University of Texas at El Paso , El Paso, Texas, USA "
15472450.2010.517477,0, Hesham Rakha ,0," Department of Civil and Environmental Engineering , Virginia Tech , Blacksburg, Virginia, USA ; Center for Sustainable Mobility , Virginia Tech Transportation Institute , Blacksburg, Virginia, USA "
15472450.2010.517477,1, Ihab El-Shawarby ,0," Center for Sustainable Mobility , Virginia Tech Transportation Institute , Blacksburg, Virginia, USA ; Design and Production Engineering Department , Ain-Shams University , Cairo, Egypt "
15472450.2010.517477,2, Mazen Arafeh ,0," Department of Industrial Engineering , University of Jordan , Amman, Jordan "
15472450.2011.544571,0, Mecit Cetin ,0," Department of Civil and Environmental Engineering , Old Dominion University Norfolk , Virginia, USA "
15472450.2011.544571,1, Christopher M. Monsere ,0," Department of Civil and Environmental Engineering , Portland State University , Portland, Oregon, USA "
15472450.2011.544571,2, Andrew P. Nichols ,0," Marshall University , Huntington, West Virginia, USA "
15472450.2011.544576,0, Seyedehsan Seyedabrishami ,0," Department of Civil Engineering , Shraif University of Technology , Tehran, Iran "
15472450.2011.544576,1, Yousef Shafahi ,0," Department of Civil Engineering , Shraif University of Technology , Tehran, Iran "
15472450.2011.544584,0, Minseok Kim ,0," Maryland State Highway Administration , Hanover, Maryland, USA "
15472450.2011.544584,1, Elise Miller-Hooks ,0," Department of Civil and Environmental Engineering , University of Maryland , College Park, Maryland, USA "
15472450.2011.544584,2, Rahul Nair ,0," Department of Civil and Environmental Engineering , University of Maryland , College Park, Maryland, USA "
15472450.2011.544587,0, Mohammed Hadi ,0," Department of Civil and Environmental Engineering, College of Engineering and Computing , Florida International University , Miami, Florida, USA "
15472450.2011.544587,1, Prasoon Sinha ,0," Arcadia US , Atlanta, Georgia, USA "
15472450.2011.544589,0, Rami Harb ,0," Department of Civil and Environmental Engineering , University of Central Florida , Orlando, Florida, USA "
15472450.2011.544589,1, Essam Radwan ,0," Center for Advanced Transportation Systems Simulation , University of Central Florida , Orlando, Florida, USA "
