keyword_terms,paper_id
3D GIS,15472450903385999
autonomous navigation,15472450903385999
data fusion,15472450903385999
geographical 3D model geolocalization,15472450903385999
GPS,15472450903385999
intelligent vehicle,15472450903385999
vision,15472450903385999
Bayesian network,15472450903386005
driving-lane recognition,15472450903386005
lane-color recognition,15472450903386005
lane detection,15472450903386005
support vector machines,15472450903386005
video-based navigation system,15472450903386005
Global Positioning System,15472450903386013
Kalman filter,15472450903386013
map-matching,15472450903386013
vehicle navigation system,15472450903386013
median absolute deviation,15472451003719699
probe vehicle,15472451003719699
sensor location,15472451003719699
sensor spacing,15472451003719699
travel-time estimation,15472451003719699
travel-time evaluation,15472451003719699
travel-time representation,15472451003719699
cell transmission model,15472451003719715
heterogeneous mobility,15472451003719715
macroscopic model,15472451003719715
traffic network,15472451003719715
sampling,15472451003719723
stratified sampling,15472451003719723
probe vehicles,15472451003719723
traffic monitoring,15472451003719723
adaptive signal control,15472451003719756
microscopic simulation,15472451003719756
optimization,15472451003719756
adaptive traffic control systems,15472451003719764
calibration,15472451003719764
field evaluation,15472451003719764
traffic modeling,15472451003719764
validation,15472451003719764
Demand Uncertainty,15472450.2010.484740
Infrastructure Investments,15472450.2010.484740
Congestion,15472450.2010.484740
Road Tolling,15472450.2010.484740
Optimal Capacity,15472450.2010.484740
preference for flexibility,15472450.2010.484742
quasi-option value,15472450.2010.484742
experimental economics,15472450.2010.484742
travel behavior,15472450.2010.484742
traffic information,15472450.2010.484742
information value,15472450.2010.484746
search theory,15472450.2010.484746
discrete choice,15472450.2010.484746
travel simulator,15472450.2010.484746
uncertainty,15472450.2010.484746
Time Variability,15472450.2010.484749
Rank-Dependent Expected Utility Theory,15472450.2010.484749
Air Route Choice,15472450.2010.484749
travel-time reliability,15472450.2010.484751
reliability ratio,15472450.2010.484751
value of reliability,15472450.2010.484751
unexpected delay,15472450.2010.484751
unexpected early,15472450.2010.484751
mode travel time,15472450.2010.484751
Navigation,15472450.2010.484753
A*,15472450.2010.484753
Risk,15472450.2010.484753
Guidance,15472450.2010.484753
Algorithm,15472450.2010.484753
Traffic Flow System,15472450.2010.516226
Lane Drop,15472450.2010.516226
Stop-and-Go System,15472450.2010.516226
Traffic Flow Efficiency,15472450.2010.516226
Active Accelerator Pedal,15472450.2010.516226
Driver Compliance,15472450.2010.516229
Variable-Message Signs,15472450.2010.516229
Logistic Regression,15472450.2010.516229
Artificial Neural Networks,15472450.2010.516229
Hybrid Tree,15472450.2010.516229
Data Mining,15472450.2010.516229
Advanced Traveler Information Systems,15472450.2010.516229
Emergency Service,15472450.2010.516232
Integer Programming,15472450.2010.516232
Service Programming,15472450.2010.516232
Service Demand,15472450.2010.516232
Travel Time,15472450.2010.516232
Advanced Traveler Information,15472450.2010.517477
Intelligent Transportation Systems,15472450.2010.517477
Transportation Modeling,15472450.2010.517477
Time Travel Reliability,15472450.2010.517477
Vehicle Reidentification,15472450.2011.544571
WIM,15472450.2011.544571
Weigh-in-Motion,15472450.2011.544571
Mixture Models,15472450.2011.544571
Bayesian,15472450.2011.544571
Expert Knowledge,15472450.2011.544576
Fuzzy Logic,15472450.2011.544576
Neuro-Fuzzy,15472450.2011.544576
Travel Demand Estimation,15472450.2011.544576
Uncertainty,15472450.2011.544576
Hazmat Transport,15472450.2011.544584
Real-Time Weather and Traffic Information,15472450.2011.544584
GIS,15472450.2011.544584
Route Guidance,15472450.2011.544584
Lane Departure Warning Systems,15472450.2011.544587
Intelligent Vehicles,15472450.2011.544587
Integrated Vehicle-Based Safety Systems,15472450.2011.544587
Pavement Markings,15472450.2011.544587
Retroreflectivity,15472450.2011.544587
