BookId,Titles,Urls,Authors
2010-14-1,EDITORIAL: Special Issue: Intelligent Vehicle Navigation (Part 2),https://www.tandfonline.com/doi/full/10.1080/15472450903385973," Mohammed A. Quddus , Washington Y. Ochieng , Hongchao Liu "
2010-14-1,"Intelligent Geolocalization in Urban Areas Using Global Positioning Systems, Three-Dimensional Geographic Information Systems, and Vision",https://www.tandfonline.com/doi/full/10.1080/15472450903385999," Cindy Cappelle , Maan El Badaoui El Najjar , Denis Pomorski , Fran??ois Charpillet "
2010-14-1,Methods to Detect Road Features for Video-Based In-Vehicle Navigation Systems,https://www.tandfonline.com/doi/full/10.1080/15472450903386005," Kyoung-Ho Choi , Soon-Young Park , Seong-Hoon Kim , Ki-Sung Lee , Jeong-Ho Park , Seong-Ik Cho , Jong-Hyun Park "
2010-14-1,Development and Application of an Enhanced Kalman Filter and Global Positioning System Error-Correction Approach for Improved Map-Matching,https://www.tandfonline.com/doi/full/10.1080/15472450903386013," Hao Xu , Hongchao Liu , Chin-Woo Tan , Yuanlu Bao "
2010-14-1,Defining a Freeway Mobility Index for Roadway Navigation,https://www.tandfonline.com/doi/full/10.1080/15472450903386021," Weihua Zhu , Kanok Boriboonsomsin , Matthew Barth "
2010-14-2,15th Intelligent Transportation Systems World Congress,https://www.tandfonline.com/doi/full/10.1080/15472451003738194, Mashrur Chowdhury 
2010-14-2,Performance Evaluation of Travel-Time Estimation Methods for Real-Time Traffic Applications,https://www.tandfonline.com/doi/full/10.1080/15472451003719699," Xuegang Jeff Ban , Yuwei Li , Alexander Skabardonis , J. D. Margulici "
2010-14-2,Multiclass Cell Transmission Model for Heterogeneous Mobility in General Topology of Road Network,https://www.tandfonline.com/doi/full/10.1080/15472451003719715," Kamonthep Tuerprasert , Chaodit Aswakul "
2010-14-2,An Investigation of the Application of Stratified Sampling in Probe-Based Traffic-Monitoring Systems,https://www.tandfonline.com/doi/full/10.1080/15472451003719723," Hema Tanikella , Brian L. Smith "
2010-14-2,Optimization of Control Parameters for Adaptive Traffic-Actuated Signal Control,https://www.tandfonline.com/doi/full/10.1080/15472451003719756," Xing Zheng , Will Recker , Lianyu Chu "
2010-14-2,Comparative Evaluation of Adaptive Traffic Control System Assessments Through Field and Microsimulation,https://www.tandfonline.com/doi/full/10.1080/15472451003719764," Cameron Kergaye , Aleksandar Stevanovic , Peter T. Martin "
2010-14-3,"Editorial: Transport, Risk, and Individual Choices",https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484737," Andr?? De Palma , Nathalie Picard "
2010-14-3,Transport Infrastructure Investment and Demand Uncertainty,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484740," Stef Proost , Saskia van der Loo "
2010-14-3,Flexibility of Transport Choice in a Real-Option Setting: An Experimental Case Study,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484742," Laurent Denant-Bo??mont , Sabrina Hammiche "
2010-14-3,The Value of Travel Information: A Search-Theoretic Approach,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484746," Caspar G. Chorus , Joan L. Walker , Moshe E. Ben-Akiva "
2010-14-3,Attitude Toward Risk of Time Loss in Travel Activity and Air Route Choices,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484749, M. De Lapparent 
2010-14-3,A Moment of Time: Reliability in Route Choice Using Stated Preference,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484751," Nebiyou Y. Tilahun , David M. Levinson "
2010-14-3,Risk-Averse Autonomous Route Guidance by a Constrained A* Search,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484753," Yanyan Chen , Michael G. H. Bell , Klaus Bogenberger "
2010-14-4,The Impact of a Congestion Assistant on Traffic Flow Efficiency and Safety in Congested Traffic Caused by a Lane Drop,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.516226," Cornelie J. G. Van Driel , Bart Van Arem "
2010-14-4,A Hybrid Tree Approach to Modeling Alternate Route Choice Behavior With Online Information,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.516229," Chanyoung Lee , Bin Ran , Fan Yang , Wei-Yin Loh "
2010-14-4,Optimal Assignment of Emergency Response Service Units With Time-Dependent Service Demand and Travel Time,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.516232," Ruey Long Cheu , Hao Lei , Raed Aldouri "
2010-14-4,Trip Travel-Time Reliability: Issues and Proposed Solutions,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.517477," Hesham Rakha , Ihab El-Shawarby , Mazen Arafeh "
2011-15-1,Bayesian Models for Reidentification of Trucks Over Long Distances on the Basis of Axle Measurement Data,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.544571," Mecit Cetin , Christopher M. Monsere , Andrew P. Nichols "
2011-15-1,Expert Knowledge-Guided Travel Demand Estimation: Neuro-Fuzzy Approach,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.544576," Seyedehsan Seyedabrishami , Yousef Shafahi "
2011-15-1,A Geographic Information System-Based Real-Time Decision Support Framework for Routing Vehicles Carrying Hazardous Materials,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.544584," Minseok Kim , Elise Miller-Hooks , Rahul Nair "
2011-15-1,Effect of Pavement Marking Retroreflectivity on the Performance of Vision-Based Lane Departure Warning Systems,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.544587," Mohammed Hadi , Prasoon Sinha "
2011-15-1,Two Simplified Intelligent Transportation System-Based Lane Management Strategies for Short-Term Work Zones,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.544589," Rami Harb , Essam Radwan , Mohamed Abdel-Aty , Xiaogang Su "
2011-15-2,Large-Scale Freeway Network Traffic Monitoring: A Map-Matching Algorithm Based on Low-Logging Frequency GPS Probe Data,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.570103," Wei Wang , Jing Jin , Bin Ran , Xiucheng Guo "
2011-15-2,An Integrated Framework to Predict Bus Travel Time and Its Variability Using Traffic Flow Data,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.570109," Ehsan Mazloumi , Geoff Rose , Graham Currie , Majid Sarvi "
2011-15-2,Operation Analysis of the Electronic Screening System at a Commercial Vehicle Weigh Station,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.570111," Jinwoo Lee , Garland Chow "
2011-15-2,A Multistep Corridor Travel-Time Prediction Method Using Presence-Type Vehicle Detector Data,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.570114," Jingxin Xia , Mei Chen , Wei Huang "
2011-15-3,An Optimal Investment Scheduling Framework for Intelligent Transportation Systems Architecture,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.594669," Faramak Zandi , Madjid Tavana "
