paper_id,ref_title,ref_journal
15472450903385999,Autonomous navigation in urban areas using GIS-managed information. [Special issue].,International Journal of Vehicle Autonomous Systems on Advances in Autonomous Vehicles and Intelligent Transportation
15472450903385999,Obstacles detection and localization with 3D geographical model and monovision,Paper presented at the IEEE Intelligent Transportation Systems Conference
15472450903385999,An integrated map-match algorithm with position feedback and shape-based mismatch detection and correction,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903385999,A road-matching method for precise vehicle localization using Kalman filtering and belief theory,Journal of Autonomous Robots
15472450903385999,Random sample consensus: A paradigm for model fitting with applications to image analysis and automated cartography,Communications of the Association for Computing Machinery
15472450903385999,Vehicle localization in urban canyons using geo-reference data and few GNSS-satellites,Paper presented at the 6th IFAC Symposium on Intelligent Autonomous Vehicles
15472450903385999,"Particle filters for positioning, navigation, and tracking",IEEE Transactions on Signal Processing
15472450903385999,A combined corner and edge detector,Paper presented at the 4th Alvey Vision Conference
15472450903385999,A new extension of the Kalman filter to nonlinear systems,Paper presented at the International Symposium on Aerospace/Defense Sensing
15472450903385999,A new approach to linear filtering and prediction problems,Transactions of the ASME. Series D: Journal of Basic Engineering
15472450903385999,High-resolution Earth imaging for geospatial information: Video navigation system using the geographic hypermedia,Paper presented at the ISPRS Hannover Workshop
15472450903385999,Stage-based augmented edutainment,Paper presented at the 4th International Symposium on Smart Graphics
15472450903385999,A high-accuracy fuzzy logic-based map-matching algorithm for road transport,Journal of Intelligent Transportation Systems
15472450903385999,EDITORIAL: Special Issue on Intelligent Vehicle Navigation (Part 1),"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903385999,Current map-matching algorithms for transport applications: State-of-the-art and future research directions,Transportation Research C: Emerging Technologies
15472450903385999,GPS/GIS localization for management of vision referenced navigation in urban environments,Paper presented at the 8th International IEEE Conference on Intelligent Transportation Systems
15472450903385999,Outdoor autonomous navigation using monocular vision,Paper presented at the IEEE/RSJ International Conference on Intelligent Robots and Systems
15472450903385999,A road-matching method for precise vehicle localization using hybrid Bayesian network,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903385999,Generation of digital city model,Journal of the Vizualization Society of Japan
15472450903385999,The unscented Kalman filter for nonlinear estimation,"Paper presented at the IEEE Symposium on Adaptive Systems for Signal Processing, Communication and Control"
15472450903385999,Some map-matching algorithms for personal navigation assistance,Transportation Research C: Emerging Technologies
15472450903385999,A flexible new technique for camera calibration,IEEE Transactions on Pattern Analysis and Machine Intelligence
15472450903385999,Present status of 3D GIS,GIM International
15472450903386005,Locating intersections for autonomous vehicles: A Bayesian network approach,ETRI Journal
15472450903386005,A new approach for tracking lanes by fusing image measurements with map data,IEEE Intelligent Vehicles Symposium
15472450903386005,Scarf: A color vision that tracks road and intersections,IEEE Transaction on Robotics and Automation
15472450903386005,Recursive 3-D road and relative ego-state recognition,IEEE Transactions on Pattern Analysis and Machine Intelligence
15472450903386005,Color-based road detection in urban traffic scenes,IEEE Transactions on Intelligent Transportation Systems
15472450903386005,Road profile recognition for autonomous car navigation and navstar GPS support,IEEE Transactions on Aerospace and Electronic Systems
15472450903386005,A new measure of travel time reliability for in-vehicle navigation systems,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903386005,Standard platform for sensor fusion on advanced driver-assistance system using Bayesian network,IEEE Intelligent Vehicles Symposium
15472450903386005,A driver-adaptive lane departure warning system based on image processing and a fuzzy evolutionary technique,Intelligent Vehicles Symposium
15472450903386005,Tracking lane and pavement edges using deformable templates,SPIE Conference on Enhanced and Synthetic Vision
15472450903386005,Building detection in augmented reality based navigation system,Lecture Notes in Computer Science
15472450903386005,ARS VEHO: Augmented reality systems for vehicle operation,Proceedings of Computers and Their Applications
15472450903386005,"Video-based lane estimation and tracking for driver assistance: Survey, system, and evaluation",IEEE Transactions on Intelligent Transportation Systems
15472450903386005,Real-time facial expression recognition in video using support vector machines,5th International Conference on Multimodal interfaces
15472450903386005,Pervasive information acquisition for mobile AR-navigation systems,Proceedings of Mobile Computing Systems and Applications
15472450903386005,Support vector machines for 3D object recognition,IEEE Transactions on Pattern Analysis and Machine Intelligence
15472450903386005,A high-accuracy fuzzy logic-based map matching algorithm for road transport,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903386005,EDITORIAL: Special issue: Intelligent vehicle navigation (Part 1),"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
