,paper_id,affiliation,year,journal
0,15472450903385999," Laboratoire Systèmes et Transports , Université de Technologie de Belfort-Montbéliard , ",2010,jits
1,15472450903385999," Laboratoire Lorrain de Recherche en Informatique et ses Applications , Institut National de Recherche en Informatique et Automatique , ",2010,jits
2,15472450903385999," Laboratoire d'Automatique, Génie Informatique et Signal , Université de Lille Nord de France , ",2010,jits
3,15472450903385999," Laboratoire Lorrain de Recherche en Informatique et ses Applications , Institut National de Recherche en Informatique et Automatique , ",2010,jits
4,15472450903386005," Mokpo National University , Mokpo, Korea ",2010,jits
5,15472450903386005," Mokpo National University , Mokpo, Korea ",2010,jits
6,15472450903386005," Eyenix Co., Ltd. , Suwon, Korea ",2010,jits
7,15472450903386005," Korea University, College of Health Science , Seoul, Korea ",2010,jits
8,15472450903386005," Electronics Telecommunications Research Institute , Daejeon, Korea ",2010,jits
9,15472450903386005," Electronics Telecommunications Research Institute , Daejeon, Korea ",2010,jits
10,15472450903386005," Electronics Telecommunications Research Institute , Daejeon, Korea ",2010,jits
11,15472450903386013," Department of Civil and Environmental Engineering , Texas Tech University , Lubbock, Texas, USA ",2010,jits
12,15472450903386013," Department of Civil and Environmental Engineering , Texas Tech University , Lubbock, Texas, USA ",2010,jits
13,15472450903386013," Institute of Transportation Studies , University of California at Berkeley , Berkeley, California, USA ",2010,jits
14,15472450903386013," Department of Automation , University of Technology and Science of China , Hefei, China ",2010,jits
15,15472451003719699," Department of Civil and Environmental Engineering , Rensselaer Polytechnic Institute , Troy, NY, USA ",2010,jits
16,15472451003719699," Partners for Advanced Transit and Highways (PATH) , Institute of Transportation Studies (ITS), University of California—Berkeley , Richmond, CA, USA ",2010,jits
17,15472451003719699," Partners for Advanced Transit and Highways (PATH) , Institute of Transportation Studies (ITS), University of California—Berkeley , Richmond, CA, USA ",2010,jits
18,15472451003719699," California Center for Innovative Transportation (CCIT) , Institute of Transportation Studies (ITS), University of California—Berkeley , Berkeley, CA, USA ",2010,jits
19,15472451003719715," Department of Electrical Engineering, Faculty of Engineering , Chulalongkorn University , Thailand ",2010,jits
20,15472451003719715," Department of Electrical Engineering, Faculty of Engineering , Chulalongkorn University , Thailand ",2010,jits
21,15472451003719723," Department of Civil Engineering , University of Virginia , Charlottesville, Virginia, USA ",2010,jits
22,15472451003719723," Department of Civil Engineering , University of Virginia , Charlottesville, Virginia, USA ",2010,jits
23,15472451003719756," Institute of Transportation Studies , University of California , Irvine, Irvine, California, USA ",2010,jits
24,15472451003719756," Institute of Transportation Studies , University of California , Irvine, Irvine, California, USA ",2010,jits
25,15472451003719756," California Center for Innovative Transportation , University of California , Berkeley, Berkeley, California, USA ",2010,jits
26,15472451003719764," Utah Department of Transportation , Salt Lake City, Utah, USA ",2010,jits
27,15472451003719764," Department of Civil, Environmental, and Geomatics Engineering , Florida Atlantic University , Boca Raton, Florida, USA ",2010,jits
28,15472451003719764," Department of Civil and Environmental Engineering , University of Utah , Salt Lake City, Utah, USA ",2010,jits
29,15472450.2010.484740," Department of Economics , Catholic University of Leuven , Leuven, Belgium ",2010,jits
30,15472450.2010.484740," Department of Economics , Catholic University of Leuven , Leuven, Belgium ",2010,jits
31,15472450.2010.484742," Department of Economics , University of Rennes 1 , Rennes, France ; Center for Research in Economics and Management–CNRS , Rennes, France ",2010,jits
32,15472450.2010.484742," Department of Economics , University of Rennes 1 , Rennes, France ; Center for Research in Economics and Management–CNRS , Rennes, France ",2010,jits
33,15472450.2010.484746," Department of Technology, Policy and Management , Delft University of Technology , Delft, The Netherlands ",2010,jits
34,15472450.2010.484746," Department of Civil and Environmental Engineering , University of California , Berkeley, California ",2010,jits
35,15472450.2010.484746," Department of Civil and Environmental Engineering , Massachusetts Institute of Technology , Cambridge, Massachusetts ",2010,jits
36,15472450.2010.484749," Département Economie et Sociologie des Transports , Institut National de Recherche Sur les Transports et leur Sécurité, Université Paris-Est , Paris, France ",2010,jits
37,15472450.2010.484751," Urban Transportation Center , University of Illinois at Chicago ",2010,jits
38,15472450.2010.484751," Department of Civil Engineering , University of Minnesota , Minneapolis",2010,jits
39,15472450.2010.484753," Key Traffic Engineering Laboratory , Beijing University of Technology , Beijing, China ",2010,jits
40,15472450.2010.484753," Centre for Transport Studies , Imperial College , London, England ",2010,jits
41,15472450.2010.484753," Transver AG , Munich, Germany ",2010,jits
42,15472450.2010.516226," Rapp Trans AG , Basel, Switzerland ",2010,jits
43,15472450.2010.516226," Faculty of Civil Engineering and Geosciences, Department of Transport, and Planning , Delft University of Technology , Delft, The Netherlands ",2010,jits
44,15472450.2010.516229," Center of Urban Transportation Research , University of South Florida , Tampa, Florida, USA ",2010,jits
45,15472450.2010.516229," Department of Civil and Environmental Engineering , University of Wisconsin at Madison , Madison, Wisconsin, USA ",2010,jits
46,15472450.2010.516229," Department of Civil Engineering , City College of New York , New York, New York, USA ",2010,jits
47,15472450.2010.516229," Department of Statistics , University of Wisconsin at Madison , Madison, Wisconsin, USA ",2010,jits
48,15472450.2010.516232," Department of Civil Engineering , The University of Texas at El Paso , El Paso, Texas, USA ",2010,jits
49,15472450.2010.516232," Department of Civil Engineering , The University of Texas at El Paso , El Paso, Texas, USA ",2010,jits
50,15472450.2010.516232," Geospatial Information Service Center , The University of Texas at El Paso , El Paso, Texas, USA ",2010,jits
51,15472450.2010.517477," Department of Civil and Environmental Engineering , Virginia Tech , Blacksburg, Virginia, USA ; Center for Sustainable Mobility , Virginia Tech Transportation Institute , Blacksburg, Virginia, USA ",2010,jits
52,15472450.2010.517477," Center for Sustainable Mobility , Virginia Tech Transportation Institute , Blacksburg, Virginia, USA ; Design and Production Engineering Department , Ain-Shams University , Cairo, Egypt ",2010,jits
53,15472450.2010.517477," Department of Industrial Engineering , University of Jordan , Amman, Jordan ",2010,jits
54,15472450.2011.544571," Department of Civil and Environmental Engineering , Old Dominion University Norfolk , Virginia, USA ",2011,jits
55,15472450.2011.544571," Department of Civil and Environmental Engineering , Portland State University , Portland, Oregon, USA ",2011,jits
56,15472450.2011.544571," Marshall University , Huntington, West Virginia, USA ",2011,jits
57,15472450.2011.544576," Department of Civil Engineering , Shraif University of Technology , Tehran, Iran ",2011,jits
58,15472450.2011.544576," Department of Civil Engineering , Shraif University of Technology , Tehran, Iran ",2011,jits
59,15472450.2011.544584," Maryland State Highway Administration , Hanover, Maryland, USA ",2011,jits
60,15472450.2011.544584," Department of Civil and Environmental Engineering , University of Maryland , College Park, Maryland, USA ",2011,jits
61,15472450.2011.544584," Department of Civil and Environmental Engineering , University of Maryland , College Park, Maryland, USA ",2011,jits
62,15472450.2011.544587," Department of Civil and Environmental Engineering, College of Engineering and Computing , Florida International University , Miami, Florida, USA ",2011,jits
63,15472450.2011.544587," Arcadia US , Atlanta, Georgia, USA ",2011,jits
