,paper_id,author_name,year,journal
0,15472450903385999, Cindy Cappelle ,2010,jits
1,15472450903385999, Maan El Badaoui El Najjar ,2010,jits
2,15472450903385999, Denis Pomorski ,2010,jits
3,15472450903385999, François Charpillet ,2010,jits
4,15472450903386005, Kyoung-Ho Choi ,2010,jits
5,15472450903386005, Soon-Young Park ,2010,jits
6,15472450903386005, Seong-Hoon Kim ,2010,jits
7,15472450903386005, Ki-Sung Lee ,2010,jits
8,15472450903386005, Jeong-Ho Park ,2010,jits
9,15472450903386005, Seong-Ik Cho ,2010,jits
10,15472450903386005, Jong-Hyun Park ,2010,jits
11,15472450903386013, Hao Xu ,2010,jits
12,15472450903386013, Hongchao Liu ,2010,jits
13,15472450903386013, Chin-Woo Tan ,2010,jits
14,15472450903386013, Yuanlu Bao ,2010,jits
15,15472451003719699, Xuegang Jeff Ban ,2010,jits
16,15472451003719699, Yuwei Li ,2010,jits
17,15472451003719699, Alexander Skabardonis ,2010,jits
18,15472451003719699, J. D. Margulici ,2010,jits
19,15472451003719715, Kamonthep Tuerprasert ,2010,jits
20,15472451003719715, Chaodit Aswakul ,2010,jits
21,15472451003719723, Hema Tanikella ,2010,jits
22,15472451003719723, Brian L. Smith ,2010,jits
23,15472451003719756, Xing Zheng ,2010,jits
24,15472451003719756, Will Recker ,2010,jits
25,15472451003719756, Lianyu Chu ,2010,jits
26,15472451003719764, Cameron Kergaye ,2010,jits
27,15472451003719764, Aleksandar Stevanovic ,2010,jits
28,15472451003719764, Peter T. Martin ,2010,jits
29,15472450.2010.484740, Stef Proost ,2010,jits
30,15472450.2010.484740, Saskia van der Loo ,2010,jits
31,15472450.2010.484742, Laurent Denant-Boèmont ,2010,jits
32,15472450.2010.484742, Sabrina Hammiche ,2010,jits
33,15472450.2010.484746, Caspar G. Chorus ,2010,jits
34,15472450.2010.484746, Joan L. Walker ,2010,jits
35,15472450.2010.484746, Moshe E. Ben-Akiva ,2010,jits
36,15472450.2010.484749, M. De Lapparent ,2010,jits
37,15472450.2010.484751, Nebiyou Y. Tilahun ,2010,jits
38,15472450.2010.484751, David M. Levinson ,2010,jits
39,15472450.2010.484753, Yanyan Chen ,2010,jits
40,15472450.2010.484753, Michael G. H. Bell ,2010,jits
