,paper_id,ref_journal,year,journal
0,15472450903385999,International Journal of Vehicle Autonomous Systems on Advances in Autonomous Vehicles and Intelligent Transportation,2010,jits
1,15472450903385999,Paper presented at the IEEE Intelligent Transportation Systems Conference,2010,jits
2,15472450903385999,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
3,15472450903385999,Journal of Autonomous Robots,2010,jits
4,15472450903385999,Communications of the Association for Computing Machinery,2010,jits
5,15472450903385999,Paper presented at the 6th IFAC Symposium on Intelligent Autonomous Vehicles,2010,jits
6,15472450903385999,IEEE Transactions on Signal Processing,2010,jits
7,15472450903385999,Paper presented at the 4th Alvey Vision Conference,2010,jits
8,15472450903385999,Paper presented at the International Symposium on Aerospace/Defense Sensing,2010,jits
9,15472450903385999,Transactions of the ASME. Series D: Journal of Basic Engineering,2010,jits
10,15472450903385999,Paper presented at the ISPRS Hannover Workshop,2010,jits
11,15472450903385999,Paper presented at the 4th International Symposium on Smart Graphics,2010,jits
12,15472450903385999,Journal of Intelligent Transportation Systems,2010,jits
13,15472450903385999,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
14,15472450903385999,Transportation Research C: Emerging Technologies,2010,jits
15,15472450903385999,Paper presented at the 8th International IEEE Conference on Intelligent Transportation Systems,2010,jits
16,15472450903385999,Paper presented at the IEEE/RSJ International Conference on Intelligent Robots and Systems,2010,jits
17,15472450903385999,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
18,15472450903385999,Journal of the Vizualization Society of Japan,2010,jits
19,15472450903385999,"Paper presented at the IEEE Symposium on Adaptive Systems for Signal Processing, Communication and Control",2010,jits
20,15472450903385999,Transportation Research C: Emerging Technologies,2010,jits
21,15472450903385999,IEEE Transactions on Pattern Analysis and Machine Intelligence,2010,jits
22,15472450903385999,GIM International,2010,jits
23,15472450903386005,ETRI Journal,2010,jits
24,15472450903386005,IEEE Intelligent Vehicles Symposium,2010,jits
25,15472450903386005,IEEE Transaction on Robotics and Automation,2010,jits
26,15472450903386005,IEEE Transactions on Pattern Analysis and Machine Intelligence,2010,jits
27,15472450903386005,IEEE Transactions on Intelligent Transportation Systems,2010,jits
28,15472450903386005,IEEE Transactions on Aerospace and Electronic Systems,2010,jits
29,15472450903386005,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
30,15472450903386005,IEEE Intelligent Vehicles Symposium,2010,jits
31,15472450903386005,Intelligent Vehicles Symposium,2010,jits
32,15472450903386005,SPIE Conference on Enhanced and Synthetic Vision,2010,jits
33,15472450903386005,Lecture Notes in Computer Science,2010,jits
34,15472450903386005,Proceedings of Computers and Their Applications,2010,jits
35,15472450903386005,IEEE Transactions on Intelligent Transportation Systems,2010,jits
36,15472450903386005,5th International Conference on Multimodal interfaces,2010,jits
37,15472450903386005,Proceedings of Mobile Computing Systems and Applications,2010,jits
38,15472450903386005,IEEE Transactions on Pattern Analysis and Machine Intelligence,2010,jits
39,15472450903386005,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
40,15472450903386005,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
41,15472450903386005,Transportation Research C: Emerging Technologies,2010,jits
42,15472450903386005,Intelligent Vehicles Symposium,2010,jits
43,15472450903386005,Lecture Notes in Computer Science,2010,jits
44,15472450903386005,International Joint Conference on SICE-ICASE,2010,jits
45,15472450903386005,Image and Vision Computing,2010,jits
46,15472450903386005,Lecture Notes in Computer Science,2010,jits
47,15472450903386005,IEEE Transactions on Intelligence Transportation Systems,2010,jits
48,15472450903386005,IEEE Intelligent Vehicles Symposium,2010,jits
49,15472450903386013,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
50,15472450903386013,Journal of Nanjing University of Aeronautics and Astronautics,2010,jits
51,15472450903386013,Position Location and Navigation Symposium,2010,jits
52,15472450903386013,Proceedings of the 81st Annual Meeting of the Transportation Research Board,2010,jits
53,15472450903386013,,2010,jits
54,15472450903386013,"IEICE Transactions on Fundamentals of Electronics, Communications, and Computer Science",2010,jits
55,15472450903386013,IEEE Intelligent Transportation System Conference Proceedings,2010,jits
56,15472450903386013,Transportation Research Record,2010,jits
57,15472450903386013,Transaction of the ASME Journal of Basic Engineering,2010,jits
58,15472450903386013,Proceeding of the 29th ISATA Symposium,2010,jits
59,15472450903386013,IEEE Symposium on Position Location and Navigation,2010,jits
60,15472450903386013,Fuzzy Systems Conference Proceedings,2010,jits
61,15472450903386013,Journal of Navigation,2010,jits
62,15472450903386013,The 11th International Conference in Advanced Robotics,2010,jits
63,15472450903386013,Proceedings of the Institute of Navigation (ION) annual conference,2010,jits
64,15472450903386013,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
65,15472450903386013,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
66,15472450903386013,Transportation Research Part C,2010,jits
67,15472450903386013,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
68,15472450903386013,Proceedings of the Institute of Navigation (ION) National Technical Meeting,2010,jits
69,15472450903386013,Transportation Research Part C,2010,jits
70,15472450903386013,IEEE Proceedings on Intelligent Transportation Systems,2010,jits
71,15472451003719699,Journal of Intelligent Transportation Systems,2010,jits
72,15472451003719699,Transportation and traffic theory,2010,jits
73,15472451003719699,Journal of Advanced Transportation,2010,jits
74,15472451003719699,Journal of Transportation Research Board,2010,jits
75,15472451003719699,Proceedings of the 83rd Transportation Research Board Annual Meeting (CD-ROM),2010,jits
76,15472451003719699,Transportation Research Part A,2010,jits
77,15472451003719699,Proceedings of the 85th Annual Meeting of Transportation Research Board (CD-ROM),2010,jits
78,15472451003719699,"Foundations for Successful Modeling and Simulation: 17th European Simulation Multiconference, Nottingham, UK",2010,jits
79,15472451003719699,Proceedings of the 14th World Congress on Intelligent Transportation Systems (CD-ROM),2010,jits
80,15472451003719699,Proceedings of the 7th World Congress on Intelligent Transportation Systems (CD-ROM),2010,jits
81,15472451003719699,Journal of Transportation Research Board,2010,jits
82,15472451003719699,Econometrica,2010,jits
83,15472451003719699,Journal of Transportation Research Board,2010,jits
84,15472451003719699,Transportation Research Part B,2010,jits
85,15472451003719699,Transportation Review,2010,jits
86,15472451003719699,Proceedings of 3rd International Conference on Road Traffic Control,2010,jits
87,15472451003719699,Journal of Transportation Research Board,2010,jits
88,15472451003719699,Proceedings of IEEE Intelligent Transportation Systems,2010,jits
89,15472451003719699,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2010,jits
90,15472451003719699,Econometrica,2010,jits
91,15472451003719699,Journal of Transportation Engineering,2010,jits
92,15472451003719699,Proceedings of the 10th World Conference on Transport Research (CD-ROM),2010,jits
93,15472451003719715,"Transportation Research, Part B",2010,jits
94,15472451003719715,"Transportation Research, Part B",2010,jits
95,15472451003719715,Proceedings of the 8th International IEEE Conference on Intelligent Transportation Systems,2010,jits
96,15472451003719715,Journal of Systems and Control Engineering,2010,jits
97,15472451003719715,Proceedings of the 2nd International Symposium on Dynamic Traffic Assignment,2010,jits
98,15472451003719715,IEEE Transactions on Intelligent Transportation Systems,2010,jits
99,15472451003719715,Revised monograph on traffic flow theory,2010,jits
100,15472451003719715,"Transportation Research, Part B",2010,jits
101,15472451003719715,"Transportation Research, Part A",2010,jits
102,15472451003719715,Journal of Intelligent Transportation Systems,2010,jits
103,15472451003719715,Proceedings of the IEEE,2010,jits
104,15472451003719715,Proceedings of World Congress on ITS 2008,2010,jits
105,15472451003719715,Networks and Spatial Economics,2010,jits
106,15472451003719715,Revised monograph on traffic flow theory,2010,jits
107,15472451003719715,"Transportation Research, Part A",2010,jits
108,15472451003719723,Proceedings of the IEEE Conference on Intelligent Transportation Systems,2010,jits
109,15472451003719723,Computer Aided Civil and Infrastructure Engineering,2010,jits
110,15472451003719723,Journal of Intelligent Transportation Systems,2010,jits
111,15472451003719723,Journal of Intelligent Transportation Systems,2010,jits
112,15472451003719723,Proceedings of the 5th ITS Congress,2010,jits
113,15472451003719723,"Transportation Research, Part C",2010,jits
114,15472451003719723,"Fourth Swiss Transport Research Conference, Monte Verita",2010,jits
115,15472451003719723,Proceedings of the 85th Annual Meeting of the Transportation Research Board,2010,jits
116,15472451003719723,Passive and Active Measurement Workshop Proceedings,2010,jits
117,15472451003719756,Journal of Supercomputing,2010,jits
118,15472451003719756,Transportation Research Record,2010,jits
119,15472451003719756,Annals Math Statistics,2010,jits
