paper_id,doi,title,year,startpp,endpp,cited,issue_no,pdf_url,paper_type,title_pro,abstract,abstract_pro
15472450903385999,10.1080/15472450903385999,"Intelligent Geolocalization in Urban Areas Using Global Positioning Systems, Three-Dimensional Geographic Information Systems, and Vision",2010,3,12,16,2010-14-1,https://www.tandfonline.com/doi/full/10.1080/15472450903385999,regular,intelligent geolocalization in urban areas using global positioning systems  three dimensional geographic information systems  and vision,"This article tackles the problem of a vehicle's geolocalization in urban areas. For this purpose, Global Positioning System (GPS) receiver is the main sensor. However, the use of GPS alone is not sufficient in many urban environments. GPS has to be helped with dead-reckoned sensors, map data, and cameras. A novel observation of the absolute pose of the vehicle is proposed to back up GPS and the drift of dead-reckoned sensors. This approach uses a new source of information that is a geographical 3-dimensional (3D) model of the environment in which the vehicle navigates. This virtual 3D city model is managed in real time by a 3D geographical information system (3D GIS). This pose's observation is constructed by matching the virtual image provided by the 3D GIS and the real image acquired by an onboard camera. An extended Kalman filter combines the sensors measurements to produce an estimation of the vehicle's pose. Experimental results using data from an odometer, a gyroscope, a GPS receiver, a camera, and an accurate geographical 3D model of the environment illustrate the developed approach.",this article tackles the problem of a vehicles geolocalization in urban areas for this purpose global positioning system  receiver is the main sensor however the use of gps alone is not sufficient in many urban environments gps has to be helped with deadreckoned sensors map data and cameras a novel observation of the absolute pose of the vehicle is proposed to back up gps and the drift of deadreckoned sensors this approach uses a new source of information that is a geographical dimensional  model of the environment in which the vehicle navigates this virtual d city model is managed in real time by a d geographical information system  this poses observation is constructed by matching the virtual image provided by the d gis and the real image acquired by an onboard camera an extended kalman filter combines the sensors measurements to produce an estimation of the vehicles pose experimental results using data from an odometer a gyroscope a gps receiver a camera and an accurate geographical d model of the environment illustrate the developed approach
15472450903386005,10.1080/15472450903386005,Methods to Detect Road Features for Video-Based In-Vehicle Navigation Systems,2010,13,26,18,2010-14-1,https://www.tandfonline.com/doi/full/10.1080/15472450903386005,regular,methods to detect road features for video based in vehicle navigation systems,"Understanding road features such as position and color of lane markings in a live video captured from a moving vehicle is essential in building video-based car navigation systems. In this article, the authors present a framework to detect road features in 2 difficult situations: (a) ambiguous road surface conditions (i.e., damaged roads and occluded lane markings caused by the presence of other vehicles on the road) and (b) poor illumination conditions (e.g., backlight, during sunset). Furthermore, to understand the lane number that a driver is driving on, the authors present a Bayesian network (BN) model, which is necessary to support more sophisticated navigation services for drivers such as recommending lane change at an appropriate time before turning left or right at the next intersection. In the proposed BN approach, evidence from (1) a computer vision engine (e.g., lane-color detection) and (2) a navigation database (e.g., the total number of lanes) was fused to more accurately decide the lane number. Extensive simulation results indicated that the proposed methods are both robust and effective in detecting road features for a video-based car navigation system.",understanding road features such as position and color of lane markings in a live video captured from a moving vehicle is essential in building videobased car navigation systems in this article the authors present a framework to detect road features in  difficult situations  ambiguous road surface conditions  and  poor illumination conditions  furthermore to understand the lane number that a driver is driving on the authors present a bayesian network  model which is necessary to support more sophisticated navigation services for drivers such as recommending lane change at an appropriate time before turning left or right at the next intersection in the proposed bn approach evidence from  a computer vision engine  and  a navigation database  was fused to more accurately decide the lane number extensive simulation results indicated that the proposed methods are both robust and effective in detecting road features for a videobased car navigation system
15472450903386013,10.1080/15472450903386013,Development and Application of an Enhanced Kalman Filter and Global Positioning System Error-Correction Approach for Improved Map-Matching,2010,27,36,24,2010-14-1,https://www.tandfonline.com/doi/full/10.1080/15472450903386013,regular,development and application of an enhanced kalman filter and global positioning system error correction approach for improved map matching,"Map-matching, which reconciles a vehicle's location with the underlying road map, is a fundamental function of a land vehicle navigation system. This article presents an improved Kalman filter approach whose state-space model is different from the conventional ones. The main objective of the research is to develop and apply a proper Kalman filter–based model for effectively correcting Global Positioning System (GPS) errors in map-matching. Based on the in-depth investigation of the characteristics of GPS errors, the authors presents a novel approach to update the state vector and other related parameters of the Kalman filter using both the historical tracks and road map information. The performance of the proposed approach is thoroughly examined by sample applications with real field data. The result shows that it handles the biased error and the random error of the GPS signals reasonably well in both the along-road and cross-road directions.",mapmatching which reconciles a vehicles location with the underlying road map is a fundamental function of a land vehicle navigation system this article presents an improved kalman filter approach whose statespace model is different from the conventional ones the main objective of the research is to develop and apply a proper kalman filterbased model for effectively correcting global positioning system  errors in mapmatching based on the indepth investigation of the characteristics of gps errors the authors presents a novel approach to update the state vector and other related parameters of the kalman filter using both the historical tracks and road map information the performance of the proposed approach is thoroughly examined by sample applications with real field data the result shows that it handles the biased error and the random error of the gps signals reasonably well in both the alongroad and crossroad directions
15472451003719699,10.1080/15472451003719699,Performance Evaluation of Travel-Time Estimation Methods for Real-Time Traffic Applications,2010,54,67,25,2010-14-2,https://www.tandfonline.com/doi/full/10.1080/15472451003719699,regular,performance evaluation of travel time estimation methods for real time traffic applications,"Travel time for an itinerary constitutes one of the most relevant roadway traffic metrics. Numerous studies have been conducted to estimate travel times on the basis of data from loop detectors. This article focuses on evaluating the performance of a set of estimation methods—algorithms that estimate route travel times using specific speed data from dual loop detectors for real-time applications, such as displaying travel times on changeable message signs. The travel-time estimates are evaluated against probe vehicle data obtained from FasTrak in the San Francisco Bay Area to determine the accuracy of the estimates. The study reveals that (a) the dispersion of travel time is often larger in off-peak periods than in peak periods for heavily congested freeways; (b) assessed against the same set of speed data, the evaluated algorithms have similar performance; (c) the accuracy of travel-time estimates on the basis of loop-detector data is better in off-peak periods than in peak periods; (d) lane-by-lane speeds from loop detectors may be used to improve travel time estimation; and (e) travel time estimation quality is more sensitive to actual sensor locations if sensors are sparse.",travel time for an itinerary constitutes one of the most relevant roadway traffic metrics numerous studies have been conducted to estimate travel times on the basis of data from loop detectors this article focuses on evaluating the performance of a set of estimation methodsalgorithms that estimate route travel times using specific speed data from dual loop detectors for realtime applications such as displaying travel times on changeable message signs the traveltime estimates are evaluated against probe vehicle data obtained from fastrak in the san francisco bay area to determine the accuracy of the estimates the study reveals that  the dispersion of travel time is often larger in offpeak periods than in peak periods for heavily congested freeways;  assessed against the same set of speed data the evaluated algorithms have similar performance;  the accuracy of traveltime estimates on the basis of loopdetector data is better in offpeak periods than in peak periods;  lanebylane speeds from loop detectors may be used to improve travel time estimation; and  travel time estimation quality is more sensitive to actual sensor locations if sensors are sparse
15472451003719715,10.1080/15472451003719715,Multiclass Cell Transmission Model for Heterogeneous Mobility in General Topology of Road Network,2010,68,82,25,2010-14-2,https://www.tandfonline.com/doi/full/10.1080/15472451003719715,regular,multiclass cell transmission model for heterogeneous mobility in general topology of road network,"This article is concerned with a mathematical generalization of macroscopic road network mobility model, the cell transmission model. The objective is to enhance the conventional single-class cell transmission model (S-CTM) to a more generalized multiclass cell transmission model (M-CTM). This latter model can take into account the mixed composition of vehicle classes (i.e., with distinct free-flow speed and vehicle length). The aim is to introduce head-of-cell and end-of-cell vehicles into the model. Cascading, merging, and diverging scenarios of cells for M-CTM have been formulated so that the model can be applied to a general topology of road network. Experimental results are provided to compare S-CTM and M-CTM in 6 network test cases with the microscopic simulator—MITSIM—and to actual measurement of network traffic conditions. The results suggest that M-CTM is significantly more accurate than S-CTM in the tested networks with nonstationary vehicle composition, with platoon dispersions and with time-varying jam status. In addition, accuracy improvement of M-CTM is obtained without compromising the computational complexity. It is therefore expected that the proposed M-CTM would be well applicable in practice.",this article is concerned with a mathematical generalization of macroscopic road network mobility model the cell transmission model the objective is to enhance the conventional singleclass cell transmission model  to a more generalized multiclass cell transmission model  this latter model can take into account the mixed composition of vehicle classes  the aim is to introduce headofcell and endofcell vehicles into the model cascading merging and diverging scenarios of cells for mctm have been formulated so that the model can be applied to a general topology of road network experimental results are provided to compare sctm and mctm in  network test cases with the microscopic simulatormitsimand to actual measurement of network traffic conditions the results suggest that mctm is significantly more accurate than sctm in the tested networks with nonstationary vehicle composition with platoon dispersions and with timevarying jam status in addition accuracy improvement of mctm is obtained without compromising the computational complexity it is therefore expected that the proposed mctm would be well applicable in practice
15472451003719723,10.1080/15472451003719723,An Investigation of the Application of Stratified Sampling in Probe-Based Traffic-Monitoring Systems,2010,83,94,2,2010-14-2,https://www.tandfonline.com/doi/full/10.1080/15472451003719723,regular,an investigation of the application of stratified sampling in probe based traffic monitoring systems,"Probe vehicles represent samples in a traffic stream, and hence, probe-based traffic monitoring relies on effective sampling of vehicles. Current research views sampling from a networkwide perspective, and a single sample size is specified for the entire network. Using this method, research has indicated that the smaller routes in a network, such as minor and other arterials, are not adequately monitored. Increasing the sample size is not always a feasible option because of the restrictions of cost for use of the wireless network bandwidth and the availability of required number of probe vehicles. In this article, the authors describe a research effort that identified and extended stratified sampling as a method for increasing the efficacy of probe-based traffic monitoring. A methodology for application of stratified sampling for probe-based traffic monitoring is developed and implemented using a heavily traveled suburban traffic network simulation as a case study. Also, the authors discuss results of the implementation and the future direction of research.",probe vehicles represent samples in a traffic stream and hence probebased traffic monitoring relies on effective sampling of vehicles current research views sampling from a networkwide perspective and a single sample size is specified for the entire network using this method research has indicated that the smaller routes in a network such as minor and other arterials are not adequately monitored increasing the sample size is not always a feasible option because of the restrictions of cost for use of the wireless network bandwidth and the availability of required number of probe vehicles in this article the authors describe a research effort that identified and extended stratified sampling as a method for increasing the efficacy of probebased traffic monitoring a methodology for application of stratified sampling for probebased traffic monitoring is developed and implemented using a heavily traveled suburban traffic network simulation as a case study also the authors discuss results of the implementation and the future direction of research
15472451003719756,10.1080/15472451003719756,Optimization of Control Parameters for Adaptive Traffic-Actuated Signal Control,2010,95,108,20,2010-14-2,https://www.tandfonline.com/doi/full/10.1080/15472451003719756,regular,optimization of control parameters for adaptive traffic actuated signal control,"The authors propose a real-time adaptive signal control model that aims to maintain the adaptive functionality of actuated controllers while improving the performance of traffic-actuated control systems. In this model, a flow-prediction algorithm is formulated to estimate the future vehicle arrival flow for each signal phase at the target intersection on the basis of the available signal-timing data obtained from previous control cycles. Optimal timing parameters are determined on the basis of these estimations and are used as signal-timing data for further optimizations. To be consistent with the operation logic of existing signal-control devices, this model is developed to optimize the basic control parameters that can be found in modern actuated controllers. Microscopic simulation is used to test and evaluate the proposed control model in a calibrated network consisting of 38 actuated signals. Simulation results indicate that this model has the potential to improve the performance of the signalized network under different traffic conditions.",the authors propose a realtime adaptive signal control model that aims to maintain the adaptive functionality of actuated controllers while improving the performance of trafficactuated control systems in this model a flowprediction algorithm is formulated to estimate the future vehicle arrival flow for each signal phase at the target intersection on the basis of the available signaltiming data obtained from previous control cycles optimal timing parameters are determined on the basis of these estimations and are used as signaltiming data for further optimizations to be consistent with the operation logic of existing signalcontrol devices this model is developed to optimize the basic control parameters that can be found in modern actuated controllers microscopic simulation is used to test and evaluate the proposed control model in a calibrated network consisting of  actuated signals simulation results indicate that this model has the potential to improve the performance of the signalized network under different traffic conditions
15472451003719764,10.1080/15472451003719764,Comparative Evaluation of Adaptive Traffic Control System Assessments Through Field and Microsimulation,2010,109,124,15,2010-14-2,https://www.tandfonline.com/doi/full/10.1080/15472451003719764,regular,comparative evaluation of adaptive traffic control system assessments through field and microsimulation,"Usually, benefits from deploying an adaptive traffic control system are measured by comparing data collected in the field before the system is installed with those collected after the system is fully operational. Such an approach is costly because it requires installation of a system before potential benefits can be observed. Nowadays to investigate effectiveness of many alternatives that were traditionally investigated in field, microsimulation is used. However, how much can one rely on results from microsimulation? There has not been a single study in which benefits of adaptive traffic control systems measured in the field are compared with those obtained through microsimulation. This study presents such a research effort. The authors compared performance measures from a field evaluation of Sydney Coordinated Adaptive Traffic System in Park City, Utah, to their counterparts from microsimulation. They collected a significant amount of data to assess system performance in the field and to help build a microsimulation model. A 14-intersection model of the Park City network was developed, calibrated, and validated on the basis of multiple data sources. The results show that a validated microsimulation model can accurately reflect field conditions although such an effort can be very challenging.",usually benefits from deploying an adaptive traffic control system are measured by comparing data collected in the field before the system is installed with those collected after the system is fully operational such an approach is costly because it requires installation of a system before potential benefits can be observed nowadays to investigate effectiveness of many alternatives that were traditionally investigated in field microsimulation is used however how much can one rely on results from microsimulation there has not been a single study in which benefits of adaptive traffic control systems measured in the field are compared with those obtained through microsimulation this study presents such a research effort the authors compared performance measures from a field evaluation of sydney coordinated adaptive traffic system in park city utah to their counterparts from microsimulation they collected a significant amount of data to assess system performance in the field and to help build a microsimulation model a intersection model of the park city network was developed calibrated and validated on the basis of multiple data sources the results show that a validated microsimulation model can accurately reflect field conditions although such an effort can be very challenging
15472450.2010.484740,10.1080/15472450.2010.484740,Transport Infrastructure Investment and Demand Uncertainty,2010,129,139,10,2010-14-3,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484740,regular,transport infrastructure investment and demand uncertainty,"In transportation planning, there can be long lead times to adapt capacity. This article addresses two questions. First, in a one mode world (e.g., rail or road), what is the optimal capacity choice when faced with uncertain demand, long lead times, and congestion. Using a simple analytical model, it is shown that when demand is inelastic, it is socially optimal to invest more than if only the expected level of demand is taken into account. In this case, it may be beneficial to overinvest in capacity because congestion costs are an increasing function of relative use. This result holds with or without optimal tolling. The second question deals with 2 competing modes in which only one mode has long lead times for capacity, whereas the other has flexible capacity. This is typical for the competition between high-speed rail and air for the medium distance trips (500–1,000 km), or for the competition between inland waterways and trucks for freight. We find that overinvestment is less justified because the substitute mode can more easily absorb the high-demand outcomes.",in transportation planning there can be long lead times to adapt capacity this article addresses two questions first in a one mode world  what is the optimal capacity choice when faced with uncertain demand long lead times and congestion using a simple analytical model it is shown that when demand is inelastic it is socially optimal to invest more than if only the expected level of demand is taken into account in this case it may be beneficial to overinvest in capacity because congestion costs are an increasing function of relative use this result holds with or without optimal tolling the second question deals with  competing modes in which only one mode has long lead times for capacity whereas the other has flexible capacity this is typical for the competition between highspeed rail and air for the medium distance trips  or for the competition between inland waterways and trucks for freight we find that overinvestment is less justified because the substitute mode can more easily absorb the highdemand outcomes
15472450.2010.484742,10.1080/15472450.2010.484742,Flexibility of Transport Choice in a Real-Option Setting: An Experimental Case Study,2010,140,153,8,2010-14-3,https://www.tandfonline.com/doi/full/10.1080/15472450.2010.484742,regular,flexibility of transport choice in a real option setting  an experimental case study,"The authors conducted an experimental study about road haulers' choice between railways and roads. If road haulers choose to load their truck on a train, they are not able to switch to using the road again until they reach the end of the line. On the contrary, highway choice is flexible in that the road hauler can change road at any time. Building upon the irreversibility of one of the two choices, the authors build a model in which traffic levels are risky using both infrastructures. In the model, they found that haulers' choices depend on the infrastructure price for railways and on the information level obtained by the hauler during travel. The flexible option is more valuable the more informed the agent is about traffic levels. These theoretical predictions are tested by implementing two experimental treatments. In the first, agents gain no information during their travel; in the second they become perfectly informed about traffic conditions during the travel. It is important that experimental payoffs are calibrated upon transport data about time and operating costs and infrastructure tariffs in France. From the experiment, the authors found that more risk-averse agents assign more value to the flexible option. The second result is that participants overreact to infrastructure price changes. The results indicate that, as the model stands, price levels and information level are important explanatory variables of choice. The higher the price is for railways and the higher the information is, the more participants give value to flexible option (highway), especially if participants are risk averse. The second result is that participants overreact to infrastructure price modification. The authors observed that, except for low levels of price, participants tend to choose the flexible option more frequently, even if it is suboptimal.",the authors conducted an experimental study about road haulers choice between railways and roads if road haulers choose to load their truck on a train they are not able to switch to using the road again until they reach the end of the line on the contrary highway choice is flexible in that the road hauler can change road at any time building upon the irreversibility of one of the two choices the authors build a model in which traffic levels are risky using both infrastructures in the model they found that haulers choices depend on the infrastructure price for railways and on the information level obtained by the hauler during travel the flexible option is more valuable the more informed the agent is about traffic levels these theoretical predictions are tested by implementing two experimental treatments in the first agents gain no information during their travel; in the second they become perfectly informed about traffic conditions during the travel it is important that experimental payoffs are calibrated upon transport data about time and operating costs and infrastructure tariffs in france from the experiment the authors found that more riskaverse agents assign more value to the flexible option the second result is that participants overreact to infrastructure price changes the results indicate that as the model stands price levels and information level are important explanatory variables of choice the higher the price is for railways and the higher the information is the more participants give value to flexible option  especially if participants are risk averse the second result is that participants overreact to infrastructure price modification the authors observed that except for low levels of price participants tend to choose the flexible option more frequently even if it is suboptimal
