Ioannou, Petros A.	Ioannou, Petros
Shen, Xuemin Sherman	Shen, Xuemin
Azpilicueta, Leyre	Azpilicueta, Leire
Ban, Xuegang Jeff	Ban, Xuegang
Biron, Z.Abdollahi	Biron, Zoleikha Abdollahi
Blom, H.A.P.	Blom, Henk A.P.
Camacho, Eduardo F.	Camacho, Eduardo Fernandez
Chau, S.C.K.	Chau, Sid Chikin
Lee, Eric Wai Ming	Lee, Eric Waiming
Nacif, J. A. M.	Nacif, Jose Augusto M.
Paneda, A. G.	Paneda, Alejandro G.
Paneda, X. G.	Paneda, Xabiel G.
Park, Byungkyu Brian	Park, Byungkyu
Sha, Edwin H.M.	Sha, Edwin
Tseng, C.M.	Tseng, Chienming
Yu, James J.Q.	Yu, James Jian Qiao
d'Andrea-Novel, B.	d'Andrea-Novel, Brigitte
Abdel-Aty, Mohamed A.	Abdel-Aty, Mohamed
Jin, Peter J.	Jin, Peter
Khattak, Asad J.	Khattak, Asad
Quddus, Mohammed A.	Quddus, Mohammed
Rakha, Hesham A.	Rakha, Hesham
Razavi, Saiedeh N.	Razavi, Saiedeh
Liu, Henry X.	Liu, Henry
"Vonu" Thakuriah, Piyushimita	Thakuriah, Piyushimita
Qian, Zhen	Qian, Sean
Abbass, Hussein A.	Abbass, Hussein
Abdelghany, Khaled F.	Abdelghany, Khaled
Ahmed, Mohamed	Ahmed, Mohamed M.
Alligier, R.	Alligier, Richard
Arentze, Theo A.	Arentze, Theo
Axhausen, K.W.	Axhausen, Kay W.
Axhausen, Kay	Axhausen, Kay W.
Barmpounakis, Emmanouil N.	Barmpounakis, Emmanouil
Bayen, Alexandre M.	Bayen, Alexandre
Ben-Akiva, Moshe E.	Ben-Akiva, Moshe
Boyles, Stephen D.	Boyles, Stephen
Canudas-de-Wit, C.	Canudas-de-Wit, Carlos
Cassidy, Michael J.	Cassidy, Michael
Cats, O.	Cats, Oded
Chow, Joseph Y.J.	Chow, Joseph
Chow, Andy H.F.	Chow, Andy
Choudhury, Charisma F.	Choudhury, Charisma
Chorus, Caspar G.	Chorus, Caspar
Chung, Edward C.S.	Chung, Edward
Coeymans, Juan E.	Coeymans, Juan Enrique
Cunningham, Christopher M.	Cunningham, Christopher
Daamen, W.	Daamen, Winnie
De Schutter, B.	De Schutter, Bart
DeLaurentis, Daniel A.	DeLaurentis, Daniel
Dixit, Vinayak V.	Dixit, Vinayak
Figliozzi, Miguel	Figliozzi, Miguel Andres
Heydecker, Benjamin G.	Heydecker, Benjamin
Hibberd, Daryl	Hibberd, Daryl L.
Hibberd, D.L.	Hibberd, Daryl L.
Hoogendoorn, S.P.	Hoogendoorn, Serge P.
Hoogendoorn, Serge	Hoogendoorn, Serge P.
Hyland, Michael F.	Hyland, Michael
Jamson, A.H.	Jamson, A. Hamish
Jamson, S.L.	Jamson, Samantha L.
Kamga, Camille N.	Kamga, Camille
Karlaftis, M.G.	Karlaftis, Matthew G.
Keyvan-Ekbatani, M.	Keyvan-Ekbatani, Mehdi
Knoop, V.L.	Knoop, Victor L.
Kroon, Leo	Kroon, Leo G.
Kurzhanskiy, Alex A.	Kurzhanskiy, Alex
Lam, W.H.K.	Lam, William H.K.
Laval, Jorge A.	Laval, Jorge
Lee, Victor	Lee, Victor C.S.
Liu, Xiaoyue Cathy	Liu, Xiaoyue
Miranda-Moreno, Luis F.	Miranda-Moreno, Luis
Munoz, Juan C.	Munoz, Juan Carlos
Negenborn, R.R.	Negenborn, Rudy R.
Ngoduy, D.	Ngoduy, Dong
Ochieng, Washington	Ochieng, Washington Y.
Ochieng, Washington Yotto	Ochieng, Washington Y.
Papageorgiou, M.	Papageorgiou, Markos
Papamichail, I.	Papamichail, Ioannis
Pereira, Francisco	Pereira, Francisco C.
Piera, M.A.	Piera, Miquel A.
Piera, Miquel Angel	Piera, Miquel A.
Polak, J.W.	Polak, John W.
Polak, John	Polak, John W.
Rostami Shahrbabaki, Majid	Rostami-Shahrbabaki, Majid
Sarvi, M.	Sarvi, Majid
Sharma, R.	Sharma, Rahul
Shen, Zuojun Max	Shen, Zuojun
Sivakumar, A.	Sivakumar, Aruna
Smith, Brian L.	Smith, Brian
Sokolov, Vadim O.	Sokolov, Vadim
Spiliopoulou, A.	Spiliopoulou, Anastasia
Sumalee, A.	Sumalee, Agachai
Szeto, W.Y.	Szeto, Wai Yuen
Timmermans, Harry J.P.	Timmermans, Harry
Timmermans, H.J.P.	Timmermans, Harry
Ukkusuri, Satish V	Ukkusuri, Satish V.
Ukkusuri, Satish	Ukkusuri, Satish V.
van Arem, B.	van Arem, Bart
van den Boom, Ton J.J.	van den Boom, Ton
Vlahogianni, E.I.	Vlahogianni, Eleni I.
Vu, H.L.	Vu, Hai L.
Wang, Bruce X.	Wang, Bruce
Aboudolas, K.	Aboudolas, Konstantinos
Barth, Matthew	Barth, Matthew J.
Becker, H.	Becker, Henrik
Calvert, S.C.	Calvert, Simeon C.
Carlson, Rodrigo Castelan	Carlson, Rodrigo C.
Chen, Bi Yu	Chen, Biyu
Fries, Ryan	Fries, Ryan N.
Haque, Md.Mazharul	Haque, Md Mazharul
Head, K.Larry	Head, Larry
Hegyi, A.	Hegyi, Andreas
Hoogendoorn, Serge Paul	Hoogendoorn, Serge P.
Kosmatopoulos, E.	Kosmatopoulos, Elias B.
Kouvelas, A.	Kouvelas, Anastasios
Nunez, A.	Nunez, Alfredo
Ryerson, Megan Smirti	Ryerson, Megan S.
Sacone, S.	Sacone, Simona
Schakel, W.J.	Schakel, Wouter J.
Schakel, Wouter	Schakel, Wouter J.
Siri, S.	Siri, Silvia
Son, Sang Hyuk	Son, Sang H.
Taiber, Joachim	Taiber, Joachim G.
Tympakianaki, A.	Tympakianaki, Athina
Vo, Quoc Bao	Vo, Bao Q.
Wijayaratna, Kasun	Wijayaratna, Kasun P.
Wilson, Nigel	Wilson, Nigel H.M.
Del Pozo, I.	Del Pozo, Isabel
Dey, Kakan Chandra	Dey, Kakan
Fayazi, S.Alireza	Fayazi, Seyed Alireza
Frazzoli, E.	Frazzoli, Emilio
Habtemichael, Filmon	Habtemichael, Filmon G.
Himpe, Willem	Himpe, Willem W.E.
Hulme, Kevin	Hulme, Kevin F.
Jeong, Myong Kee	Jeong, Myong K.
Ng, Joseph Keeyin	Ng, Joseph K.Y.
Nicholson, Gemma	Nicholson, Gemma L.
Nikolos, I.K.	Nikolos, Ioannis K.
Noyce, David	Noyce, David A.
Pan, T.L.	Pan, Tianlu
Park, B.Brian	Park, Byungkyu
Pasquale, C.	Pasquale, Cecilia
Pel, A.J.	Pel, Adam J.
Pinjari, Abdul Rawoof	Pinjari, Abdul R.
Rakke, Jorgen Glomvik	Rakke, Jorgen G.
Ruiz, S.	Ruiz, Sergio
Treiber, M.	Treiber, Martin
Van Zuylen, Henk	van Zuylen, Henk J.
Waraich, R.A.	Waraich, Rashid A.
Zhang, H.M.	Zhang, H.Michael
Zuylen, Henk J.Van	Zuylen, Henk Van
Habtemichael, Filmon	Habtemichael, Filmon G.
Michael Zhang, H.	Zhang, H.Michael
Michael Walton, C.	Walton, C.Michael
