applications,application
algorithms,algorithm
approaches,approach
authors,author
methods,method
results,result
shows,show
indicates,indicate
evaluates,evaluate
proposes,propose
tests,test
times,time
users,user
systems,system
studies,study
analyses,analysis
problems,problem
abstracts,abstract
figures,figure
tables,table
locations,location
vehicles,vehicle
sets,set
routes,route
demands,demand
maps,map
devices,device
improves,improve
enhances,enhance
conditions,condition
scenarios,scenario
papers,paper
signals,signal
emissions,emission
benefits,benefit
costs,cost
lanes,lane
networks,network
drivers,drive
congestions,congestion
years,year
delays,delay
factors,factor
cases,case
types,type
effects,effect
influences,influence
affects,affect
presents,present
terms,term
compared,compare
sensors,sensor
transits,transit
buses,bus
trains,train
reduces,reduce
reduced,reduce
affected,affect
evaluated,evaluate
presented,present
delayed,delay
collected,collect
detectors,detector
trucks,truck
rates,rate
cycles,cycle
stations,station
intersections,intersection
procedures,procedure
distributions,distribution
includes,include
included,include
improved,improve
enhanced,enhance
proposed,propose
integrated,integrate
images,image
values,value
given,give
including,include
changes,change
errors,error
fields,field
identified,identify
identifies,identify
links,link
arrivals,arrival
departures,departure
choices,choice
volumes,volume
speeds,speed
flows,flow
variables,variable
cars,car
findings,find
finding,find
conclusions,conclusion
concluding,conclusion
considered,consider
consideration,consider
considers,consider
travelers,traveler
objectives,objective
functions,function
trips,trip
operations,operation
designs,design
services,service
simulations,simulation
seeds,seed
runs,run
develops,develop
developed,develop
corridors,corridor
levels,level
simulated,simulation
simulate,simulation
cities,city
estimated,estimate
estimates,estimate
areas,area
accidents,accident
incidents,incident
zones,zone
activities,activity
researches,research
days,day
hours,hour
seconds,second
paths,path
roads,road
roadways,road
implemented,implement
predictions,prediction
predicted,predict
predicts,predict
reduced,reduce
reduction,reduce
reduces,reduce
loops,loop
videos,video
constraints,constraint
routes,route
patterns,pattern
trajectories,trajectory
states,state
sites,site
measures,measure
tested,test
conducted,conduct
conducts,conduct
showed,show
shows,show
shown,show
related,relate
relates,relate
used,use
using,use
based,base
basis,base
articles,article
controls,control
obtained,obtain
introduced,introduce
introduction,introduce
queues,queue
advantages,advantage
events,event
ranges,range
simulators,simulator
behaviors,behavior
measurements,measurement
expected,expect
points,point
models,model
crashes,crash
ramps,ramp
associated,associate
designs,design
designed,design
uses,use
decisions,decision
provided,provide
classes,class
groups,group
analyzed,analyze
analyzes,analyze
applied,apply
measured,measure
technologies,technology
discussions,discussion
discussed,discuss
agencies,agency
impacts,impact
minimized,minimize
maximized,maximize
observed,observe
indicated,indicate
accounts,account
accounted,account
communications,communication
performed,perform
appears,appear
applies,apply
applied,apply
apps,app
architects,architect
architectures,architecture
arises,arise
arrangements,arrangement
arterials,arterial
assessed,assess
assesses,assess
assigns,assign
allows,allow
allowed,allow
agents,agent
adopts,adopt
adopted,adopt
adjusted,adjust
accepted,accept
abilities,ability
asked,ask
aspects,aspect
calculates,calculate
calculated,calculate
called,call
calls,call
capabilities,capabilty
captured,capture
captures,capture
categories,category
challenges,challenge
circumstances,circumstance
taxis,taxi
collisions,collision
communities,community
blocks,block
tracts,tract
compares,compare
comparison,compare
comparisons,compare
complexities,complex
complexity,complex
complicated,complex
computed,compute
configurations,configuration
constrains,constrain
constitutes,constitute
continued,continue
continues,continue
correlations,correlation
created,create
creates,create
currently,current
decomposed,decompose
decomposes,decompose
decreased,decrease
decreases,decrease
defects,defect
degrees,degree
described,describe
describes,describe
destinations,destination
origins,origin
detected,detect
detects,detect
deviations,deviation
derivations,derivation
diagrams,diagram
differences,different
differently,different
differs,different
difficulties,difficulty
dimensions,dimension
consumers,consumer
customers,customer
passengers,passenger
discusses,discuss
discovered,discover
displayed,display
disruptions,disruption
distinguishes,distinguish
evaluations,evaluate
evaluation,evaluate
estimations,estimation
examples,example
exceeds,exceed
exits,exit
exhibits,exhibit
exists,exist
experts,expert
exceptions,exception
experiences,experience
explained,explain
explains,explain
explanation,explain
exploits,exploit
expressways,expressway
fails,fail
files,file
finds,find
fleets,fleet
floridas,florida
focused,focus
focuses,focus
forecasts,forecast
forecasted,forecast
follows,follow
followed,follow
following,follow
formulated,formulate
formulates,formulate
frameworks,framework
frequencies,frequency
highways,highway
holds,hold
increased,increase
increases,increase
incentives,incentive
improvements,improve
improvement,improve
improving,improve
injuries,injury
insights,insight
instruments,instrument
inventories,inventory
investigated,investigate
